Kotetsu Boku,[u'Joachim Hansen']
Dan Severn,"[u'Travis Fulton', u'Pedro Rizzo', u'Kimo Leopoldo', u'Mark Coleman', u'Ken Shamrock', u'David Abbott', u'Paul Varelans', u'Oleg Taktarov', u'Ken Shamrock', u'Joe Charles', u'Dave Beneteau', u'Oleg Taktarov', u'Marcus Bossett', u'Royce Gracie', u'Anthony Macias']"
Sidney Silva,[u'Tommy Speer']
Ariel Gandulla,"[u'Doug Marshall', u'Gary Padilla']"
Tra Telligman,"[u'Tim Sylvia', u'Pedro Rizzo', u'Igor Vovchanchyn', u'Carlos Barreto', u'Pedro Rizzo', u'Brad Kohler', u'Vitor Belfort']"
Jeremiah Billington,[u'Brian Stann']
Gunnar Nelson,"[u'Rick Story', u'Zak Cummings', u'Omari Akhmedov', u'Jorge Santiago', u'DaMarques Johnson']"
Walt Harris,"[u'Soa Palelei', u'Nikita Krylov', u'Jared Rosholt']"
Joe Stevenson,"[u'Javier Vazquez', u'Danny Castillo', u'Mac Danzig', u'George Sotiropoulos', u'Spencer Fisher', u'Nate Diaz', u'Diego Sanchez', u'Kenny Florian', u'Gleison Tibau', u'BJ Penn', u'Kurt Pellegrino', u'Melvin Guillard', u'Dokonjonosuke Mishima', u'Yves Edwards', u'Josh Neer', u'Luke Cummo', u'Joe Camacho', u'Thomas Denny', u'Romie Aram', u'Jeremy Jackson', u'Chris Brennan', u'Jens Pulver']"
Kultar Gill,"[u'Joachim Hansen', u'Tatsuya Kawajiri']"
Zachary Micklewright,"[u'Dustin Poirier', u'Bart Palaszewski', u'Muhsin Corbbrey']"
Jorge Oliveira,[u'Marvin Eastman']
Joseph Benavidez,"[u'Dustin Ortiz', u'Timothy Elliott', u'Demetrious Johnson', u'Darren Uyenoyama', u'Ian McCall', u'Demetrious Johnson', u'Yasuhiro Urushitani', u'Eddie Wineland', u'Ian Loveland', u'Wagnney Fabiano', u'Dominick Cruz', u'Miguel Torres', u'Rani Yahya', u'Dominick Cruz', u'Jeff Curran', u'Danny Martinez', u'Junya Kudo']"
Norman Parke,"[u'Naoyuki Kotani', u'Leonardo Santos', u'Jon Tuck', u'Kazuki Tokudome', u'Colin Fletcher']"
Andy Ologun,"[u'Katsuaki Furuki', u'Yukio Sakaguchi', u'Daisuke Nakamura']"
Wagner Campos,[u'Marcos Vinicius']
Sergey Ignatov,[u'Ricardo Arona']
Vinny Magalhaes,"[u'Anthony Perosh', u'Phil Davis', u'Igor Pokrajac', u'Eliot Marshall', u'Ryan Bader']"
Chris Condo,[u'Ron Waterman']
Derrick Mehmen,"[u'Gian Villante', u'Roy Jones']"
Eric Lawson,"[u'Ron Keslar', u'Wayne Phillips', u'Waylon Kennell', u'Tony Johnson', u'Kenneth Seegrist', u'Jesse Gillespie', u'Josh Neal']"
Dave Branch,"[u'Rousimar Palhares', u'Rich Attonito', u'Tomasz Drwal', u'Gerald Harris']"
James Head,"[u'Jason High', u'Mike Pyle', u'Brian Ebersole', u'Papy Abedi', u'Nick Ring']"
Thiago Perpetuo,"[u'Kenny Robertson', u'Omari Akhmedov', u'Leonardo Mafra']"
Francimar Barroso,"[u'Hans Stringer', u'Ednaldo Oliveira']"
Joe Pearson,"[u'Urijah Faber', u'Yoshiro Maeda']"
Andrei Kopylov,[u'Mario Sperry']
Daniel Acacio,"[u'Rousimar Palhares', u'Akihiro Gono', u'Kazuo Misaki', u'Daiju Takase']"
Kevin Rosier,"[u'Joe Charles', u'Zane Frazier', u'Gerard Gordeau']"
Matt Wiman,"[u'Isaac Vallie-Flagg', u'TJ Grant', u'Paul Sass', u'Mac Danzig', u'Dennis Siver', u'Cole Miller', u'Mac Danzig', u'Shane Nelson', u'Sam Stout', u'Jim Miller', u'Thiago Tavares', u'Justin Buchholz', u'Michihiro Omigawa', u'Brian Geraghty', u'Spencer Fisher']"
Sam Fulton,"[u'Alex Hunter', u'Scott Ferrozzo']"
Katsuya Inoue,[u'Nick Diaz']
Hiroyuki Abe,"[u'Naoki Matsushita', u'Luiz Firmino']"
Edgar Garcia,"[u'Hector Urbina', u'DaMarques Johnson', u'Brad Blackburn', u'Hiromitsu Miura']"
Joe Lauzon,"[u'Michael Chiesa', u'Mac Danzig', u'Michael Johnson', u'Jim Miller', u'Jamie Varner', u'Anthony Pettis', u'Melvin Guillard', u'Curt Warburton', u'George Sotiropoulos', u'Gabe Ruediger', u'Sam Stout', u'Jeremy Stephens', u'Kyle Bradley', u'Kenny Florian', u'Jason Reinhardt', u'Brandon Melendez', u'Jens Pulver']"
Diego Nunes,"[u'Nik Lentz', u'Bart Palaszewski', u'Dennis Siver', u'Manvel Gamburyan', u'Kenny Florian', u'Mike Brown', u'Tyler Toner', u'Raphael Assuncao', u'LC Davis', u'Rafael Dias', u'Cole Province']"
Chris Manuel,[u'Kenji Osawa']
Akira Shoji,"[u'Gilbert Yvel', u'Dean Lister', u'Paulo Filho', u'Tsuyoshi Tamakairiki', u'Murilo Rua', u'Mauricio Rua', u'Alex Stiebling', u'Paulo Filho', u'Jeremy Horn', u'Semmy Schilt', u'Dan Henderson', u'Ricardo Almeida', u'Herman Renting', u'John Renken', u'Mark Coleman', u'Larry Parker', u'Guy Mezger', u'Igor Vovchanchyn', u'Wallid Ismail', u'Daijiro Matsui', u'Juan Mott', u'Renzo Gracie']"
Luiz Cane,"[u'Chris Camozzi', u'Stanislav Nedkov', u'Eliot Marshall', u'Cyrille Diabate', u'Steve Cantwell', u'Jason Lambert', u'James Irvin']"
Sean Daugherty,[u'Scott Morris']
Yuji Nagata,"[u'Fedor Emelianenko', u'Mirko Filipovic']"
Kristian Rothaermel,[u'Rob MacDonald']
Marius Zaromskis,"[u'Eiji Ishikawa', u'Kazushi Sakuraba', u'Waachiim Spiritwolf', u'Evangelista Santos', u'Nick Diaz', u'Jason High', u'Hayato Sakurai', u'Seichi Ikemoto']"
Roan Carneiro,"[u'Ryo Chonan', u'Kevin Burns', u'Tony DeSouza', u'Jon Fitch', u'Rich Clementi', u'Anderson Silva']"
Miguel Cosio,[u'Brian Stann']
Mike Massenzio,"[u'Karlos Vemola', u'Rousimar Palhares', u'Steve Cantwell', u'Krzysztof Soszynski', u'Brian Stann', u'CB Dollaway', u'Drew McFedries']"
Julian Sanchez,[u'Mark Coleman']
Tim Lajcik,"[u'Kimo Leopoldo', u'Jeff Monson', u'Ron Waterman', u'Tsuyoshi Kohsaka']"
Tom Egan,[u'John Hathaway']
Hugo Duarte,"[u'Mark Kerr', u'David Abbott']"
Bo Cantrell,[u'Kevin Ferguson']
Muhsin Corbbrey,"[u'Zachary Micklewright', u'Anthony Njokuani', u'Nick Diaz']"
Leigh Remedios,[u'Genki Sudo']
Tom Erikson,"[u'Fabricio Werdum', u'Tim Catalfo', u'Matt Skelton', u'Heath Herring', u'Gary Goodridge']"
Shannon Ritch,"[u'Diego Sanchez', u'Kazushi Sakuraba']"
Rubens Xavier,[u'Thiago Silva']
Steve Lopez,"[u'Waylon Lowe', u'Jim Miller']"
Ryan Healy,[u'Jorge Masvidal']
Rodrigo Damm,"[u'Al Iaquinta', u'Rashid Magomedov', u'Ivan Jorge', u'Mizuto Hirota', u'Antonio Carvalho', u'Anistavio Medeiros', u'Justin Wilcox', u'Gilbert Melendez']"
Sergio Gomez,"[u'Richard Crunkilton', u'Marcus Hicks']"
Jon Madsen,"[u'Mike Russow', u'Gilbert Yvel', u'Karlos Vemola', u'Mostapha Al-Turk', u'Justin Wren']"
John Lober,[u'Frank Shamrock']
Cody Donovan,"[u'Nikita Krylov', u'Gian Villante', u'Nick Penner']"
Assuerio Silva,"[u'Cheick Kongo', u'Brandon Vera', u'Tim Sylvia', u'Aleksander Emelianenko', u'Yoshihisa Yamamoto', u'Valentijn Overeem']"
Chad Vance,[u'Kevin Casey']
Jason Young,"[u'Robert Peralta', u'Eric Wisely', u'Michihiro Omigawa', u'Dustin Poirier']"
Stefan Klever,[u'Gegard Mousasi']
Tedd Williams,"[u'Ian Freeman', u'Steve Judson']"
Masutatsu Yano,[u'Katsuhisa Fujii']
Aurelijus Kerpe,[u'Paul Daley']
Miika Mehmet,[u'Michael Bisping']
Eric Wisely,"[u'Jason Young', u'Charles Oliveira', u'Pat Healy']"
Jason MacDonald,"[u'Tom Lawlor', u'Alan Belcher', u'Ryan Jensen', u'John Salter', u'Nate Quarry', u'Wilson Gouveia', u'Jason Lambert', u'Demian Maia', u'Joe Doerksen', u'Yushin Okami', u'Rory Singer', u'Rich Franklin', u'Chris Leben', u'Ed Herman']"
Mark Hughes,[u'Alex Stiebling']
Ross Ebanez,[u'Tatsuya Kawajiri']
Deividas Taurosevicius,"[u'LC Davis', u'Mackens Semerzier', u'Javier Vazquez']"
Sergio Pettis,"[u'Matt Hobar', u'Yaotzin Meza', u'Alex Caceres', u'Will Campuzano']"
Alexander Yakovlev,[u'Demian Maia']
Rory Singer,"[u'Jason MacDonald', u'Yushin Okami', u'Josh Haynes', u'Ross Pointon']"
Wilson Reis,"[u'Scott Jorgensen', u'Joby Sanchez', u'Iuri Alcantara', u'Ivan Menjivar']"
Trevor Smith,"[u'Caio Magalhaes', u'Tor Troeng', u'Thales Leites', u'Brian Houston', u'Ed Herman', u'Tim Kennedy', u'Gian Villante', u'TJ Cook', u'Keith Berry']"
Junie Browning,"[u'Cole Miller', u'David Kaplan']"
Thiago Silva,"[u'Matt Hamill', u'Rafael Cavalcante', u'Stanislav Nedkov', u'Alexander Gustafsson', u'Brandon Vera', u'Rashad Evans', u'Keith Jardine', u'Lyoto Machida', u'Antonio Mendes', u'Houston Alexander', u'Tomasz Drwal', u'James Irvin', u'Tatsuya Mizuno', u'Vitor Vianna', u'Dino Pezao', u'Dave Dalgliesh', u'Rubens Xavier']"
Khabib Nurmagomedov,"[u'Pat Healy', u'Abel Trujillo', u'Thiago Tavares', u'Gleison Tibau', u'Kamal Shalorus']"
Amir Sadollah,"[u'Yoshihiro Akiyama', u'Dan Hardy', u'Jorge Lopez', u'Duane Ludwig', u'DaMarques Johnson', u'Peter Sobotta', u'Brad Blackburn', u'Phil Baroni', u'Johny Hendricks', u'CB Dollaway']"
Kevin Knabjian,[u'Brock Larson']
Ken Stone,"[u'Erik Perez', u'Dustin Pague', u'Donny Walker', u'Scott Jorgensen', u'Eddie Wineland']"
Motonobu Tezuka,"[u'Vaughan Lee', u'Alex Caceres']"
Alessio Sakara,"[u'Patrick Cote', u'Brian Stann', u'Chris Weidman', u'James Irvin', u'Thales Leites', u'Joe Vedepo', u'Chris Leben', u'James Lee', u'Houston Alexander', u'Victor Valimaki', u'Drew McFedries', u'Dean Lister', u'Elvis Sinosic', u'Ron Faircloth']"
Cory Walmsley,[u'David Heath']
Jason DeLucia,"[u'Joe Slick', u'Scott Baker', u'Royce Gracie', u'Trent Jenkins']"
Koji Oishi,"[u'Nick Diaz', u'Laverne Clark']"
Hector Ramirez,"[u'Forrest Griffin', u'James Irvin', u'Rashad Evans']"
Brock Lesnar,"[u'Alistair Overeem', u'Cain Velasquez', u'Shane Carwin', u'Frank Mir', u'Randy Couture', u'Heath Herring', u'Frank Mir']"
Andre Fili,"[u'Felipe Arantes', u'Max Holloway', u'Jeremy Larsen']"
Lance Gibson,"[u'Evan Tanner', u'Jermaine Andre']"
Tommy Lee,[u'Cub Swanson']
David Baron,"[u'Jim Miller', u'Takanori Gomi']"
Artur Oumakhanov,[u'Katsuhiko Nagata']
Cyrille Diabate,"[u'Ilir Latifi', u'Jimi Manuwa', u'Chad Griggs', u'Tom DeBlass', u'Anthony Perosh', u'Steve Cantwell', u'Alexander Gustafsson', u'Luiz Cane', u'Mauricio Rua']"
Yoji Anjo,"[u'Ryan Gracie', u'Matt Lindland', u'Murilo Bustamante', u'David Abbott']"
Matt Horning,[u'Dustin Ortiz']
Keisuke Fujiwara,"[u'Kenji Osawa', u'Masakazu Imanari', u'Tomoya Miyashita']"
Melvin Manhoef,"[u'Denis Kang', u'Tim Kennedy', u'Tatsuya Mizuno', u'Robbie Lawler', u'Kazuo Misaki', u'Paulo Filho', u'Mark Hunt', u'Gegard Mousasi', u'Kazushi Sakuraba', u'Yoshihiro Akiyama']"
Pedro Rizzo,"[u'Fedor Emelianenko', u'Josh Barnett', u'Roman Zentsov', u'Sergei Kharitonov', u'Ricco Rodriguez', u'Tra Telligman', u'Vladimir Matyushenko', u'Gan McGee', u'Andrei Arlovski', u'Randy Couture', u'Randy Couture', u'Josh Barnett', u'Dan Severn', u'Kevin Randleman', u'Tsuyoshi Kohsaka', u'Tra Telligman', u'Mark Coleman', u'David Abbott']"
Raul Castillo,"[u'Yancy Medeiros', u'Brandon Michaels', u'Andrew Montanez']"
Pawel Pawlak,[u'Peter Sobotta']
John Hosman,"[u'Chad George', u'Rani Yahya']"
Daijiro Matsui,"[u'Kazuki Okubo', u'Jerrel Venetiaan', u'Rodrigo Gracie', u'Quinton Jackson', u'Murilo Rua', u'Jose Landi-Jons', u'Vitor Belfort', u'Igor Vovchanchyn', u'Wanderlei Silva', u'Bob Schrijber', u'Carlos Newton', u'Sanae Kikuta', u'Akira Shoji']"
Chris Mickle,[u'Jose Aldo']
Brandon Thatch,"[u'Paulo Thiago', u'Justin Edwards', u'Brandon Magana']"
Mike Russow,"[u'Shawn Jordan', u'Fabricio Werdum', u'Jon Madsen', u'Todd Duffee', u'Justin McCully', u'Roman Zentsov', u'Sergei Kharitonov']"
Sam Stout,"[u'KJ Noons', u'Cody McKenzie', u'James Krause', u'Caros Fodor', u'John Makdessi', u'Spencer Fisher', u'Thiago Tavares', u'Yves Edwards', u'Paul Taylor', u'Jeremy Stephens', u'Joe Lauzon', u'Matt Wiman', u'Terry Etim', u'Rich Clementi', u'Per Eklund', u'Spencer Fisher', u'Kenny Florian', u'Spencer Fisher']"
Marvin Eastman,"[u'Drew McFedries', u'Terry Martin', u'Quinton Jackson', u'Jorge Oliveira', u'Travis Lutter', u'Vitor Belfort', u'Alex Stiebling', u'Tom Sauer', u'Rich Franklin']"
James Irvin,"[u'Igor Pokrajac', u'Alessio Sakara', u'Anderson Silva', u'Houston Alexander', u'Luiz Cane', u'Thiago Silva', u'Hector Ramirez', u'Bobby Southworth', u'Stephan Bonnar', u'Terry Martin', u'Mike Kyle']"
George Bush,[u'Abongo Humphrey']
Justin Wilcox,"[u'Jorge Masvidal', u'Caros Fodor', u'Gesias Cavalcante', u'Rodrigo Damm', u'Vitor Ribeiro', u'Shamar Bailey', u'Daisuke Nakamura', u'David Douglas', u'Mitsuhiro Ishida']"
Philip Preece,[u'Keith Jardine']
Mac Danzig,"[u'Joe Lauzon', u'Melvin Guillard', u'Takanori Gomi', u'Efrain Escudero', u'Matt Wiman', u'Joe Stevenson', u'Matt Wiman', u'Justin Buchholz', u'Jim Miller', u'Josh Neer', u'Clay Guida', u'Mark Bocek', u'Tommy Speer', u'Hayato Sakurai', u'Kurt Pellegrino']"
Danny Abbadi,"[u'Jorge Gurgel', u'Kalib Starnes']"
Joao Pierini,[u'Yves Edwards']
Daiju Takase,"[u'Daniel Acacio', u'Carlos Newton', u'Chris Brennan', u'Hayato Sakurai', u'Rodrigo Gracie', u'Anderson Silva', u'Fabiano Iha', u'Kenichi Yamamoto', u'Jeremy Horn', u'Emmanuel Yarborough']"
Bobby Stack,"[u'Isaiah Hill', u'Derrick Burnsed', u'Cyrillo Padilha', u'Jose Palacios', u'Issac DeJesus']"
Jake Ellenberger,"[u'Kelvin Gastelum', u'Robbie Lawler', u'Rory MacDonald', u'Nate Marquardt', u'Jay Hieron', u'Martin Kampmann', u'Diego Sanchez', u'Jake Shields', u'Sean Pierson', u'John Howard', u'Mike Pyle', u'Carlos Condit']"
Josh Clopton,"[u'Rani Yahya', u'Steven Siler']"
George Sullivan,"[u'Igor Araujo', u'Mike Rhodes']"
Rich Clementi,"[u'Shinya Aoki', u'Gleison Tibau', u'Gray Maynard', u'Terry Etim', u'Sam Stout', u'Melvin Guillard', u'Anthony Johnson', u'Roan Carneiro', u'Ross Pointon', u'Din Thomas', u'Yves Edwards']"
Matt Dwyer,[u'Albert Tumenov']
Bibiano Fernandes,"[u'Yoshiro Maeda', u'Antonio Banuelos', u'Takafumi Otsuka', u'Hiroyuki Takaya', u'Joachim Hansen', u'Hiroyuki Takaya', u'Joe Warren', u'Masakazu Imanari', u'Takafumi Otsuka']"
Torrance Taylor,[u'Fabricio Camoes']
Baru Harn,[u'Ikuhisa Minowa']
Clay Harvison,"[u'DaMarques Johnson', u'Seth Baczynski', u'Justin Edwards']"
Mike Campbell,"[u'Anthony Pettis', u'Danillo Villefort']"
Dennis Bermudez,"[u'Ricardo Lamas', u'Clay Guida', u'Jimy Hettes', u'Steven Siler', u'Max Holloway', u'Matt Grice', u'Tommy Hayden', u'Pablo Garza', u'Diego Brandao']"
Ricardo Almeida,"[u'Mike Pyle', u'TJ Grant', u'Matt Hughes', u'Matt Brown', u'Kendall Grove', u'Matt Horwich', u'Patrick Cote', u'Rob Yundt', u'Ryo Chonan', u'Andrei Semenov', u'Eugene Jackson', u'Matt Lindland', u'Akira Shoji']"
Drew Dimanlig,[u'Scott Graham']
Luke Zachrich,"[u'Dan Kelly', u'Guilherme Vasconcelos', u'Caio Magalhaes']"
Jadson Costa,[u'Takanori Gomi']
Mats Nilsson,[u'Luke Barnatt']
Bryan Pardoe,"[u'Rashad Evans', u'Frank Shamrock', u'Keith Jardine']"
Scott Askham,[u'Magnus Cedenblad']
Justin McElfresh,"[u'Steve Cantwell', u'Doug Marshall']"
Tony Ferguson,"[u'Abel Trujillo', u'Danny Castillo', u'Katsunori Kikuno', u'Mike Rio', u'Michael Johnson', u'Yves Edwards', u'Aaron Riley', u'Ramsey Nijem']"
Larry Parker,[u'Akira Shoji']
Brad Morris,"[u'Jason Brilz', u'Cain Velasquez']"
Masaaki Satake,"[u'Quinton Jackson', u'Semmy Schilt', u'Igor Vovchanchyn', u'Tadao Yasuda', u'Naoya Ogawa', u'Kazunari Murakami', u'Guy Mezger', u'Mark Coleman']"
Olivier Aubin-Mercier,"[u'Jake Lindsey', u'Chad Laprise']"
Michiyoshi Ohara,"[u'Kevin Randleman', u'Renzo Gracie']"
Brodie Farber,"[u'Luigi Fioravanti', u'Rory Markham']"
Sanae Kikuta,"[u'Makoto Takimoto', u'Alexander Otsuka', u'Eugene Jackson', u'Daijiro Matsui', u'Renzo Gracie']"
Joey Villasenor,"[u'Evangelista Santos', u'Phil Baroni', u'Ryan Jensen', u'Murilo Rua', u'Robbie Lawler', u'Ryo Chonan', u'Jermaine Andre']"
Mark Eddiva,[u'Jumabieke Tuerxun']
Rafael Cavalcante,"[u'Ryan Bader', u'Igor Pokrajac', u'Thiago Silva', u'Mike Kyle', u'Yoel Romero', u'Dan Henderson', u'Muhammed Lawal', u'Antwain Britt', u'Aaron Rosa', u'Mike Kyle', u'Travis Galbraith', u'Wayne Cole', u'John Doyle']"
Mike French,"[u'Jeff Bedard', u'Antonio Banuelos']"
Kazuo Misaki,"[u'Paul Daley', u'Melvin Manhoef', u'Joe Riggs', u'Yoshihiro Akiyama', u'Frank Trigg', u'Paulo Filho', u'Denis Kang', u'Dan Henderson', u'Phil Baroni', u'Dan Henderson', u'Daniel Acacio', u'Jorge Patino']"
Chris Spang,"[u'Adlan Amagov', u'Nah-Shon Burrell', u'Joe Ray']"
Robert Lucarelli,[u'Orlando Wiet']
Ivan Lopez,[u'Dominick Cruz']
Adrian Serrano,[u'Shonie Carter']
Mark Weir,"[u'Denis Kang', u'David Loiseau', u'Phillip Miller', u'Eugene Jackson']"
Krzysztof Soszynski,"[u'Igor Pokrajac', u'Mike Massenzio', u'Goran Reljic', u'Stephan Bonnar', u'Stephan Bonnar', u'Brandon Vera', u'Andre Gusmao', u'Brian Stann', u'Shane Primm', u'Ben Rothwell', u'Ben Rothwell', u'Mike Kyle']"
Wesley Correira,"[u'Andrei Arlovski', u'David Abbott', u'Sean Alvarez', u'Tim Sylvia']"
Sean Salmon,"[u'Jorge Santiago', u'Alan Belcher', u'Rashad Evans']"
Dmitri Stepanov,[u'Steven Graham']
Shane Roller,"[u'Jacob Volkmann', u'John Alessio', u'Michael Johnson', u'TJ Grant', u'Melvin Guillard', u'Thiago Tavares', u'Jamie Varner', u'Anthony Pettis', u'Anthony Njokuani', u'Danny Castillo', u'Marcus Hicks', u'Benson Henderson', u'Mike Budnik', u'Todd Moore']"
Magomed Sultanakhmedov,[u'Zelg Galesic']
Paul Bradley,"[u'Mike Pierce', u'Rafael Natal', u'Luke Rockhold', u'Levi Avera']"
Paul Kelly,"[u'Donald Cerrone', u""TJ O'Brien"", u'Jacob Volkmann', u'Matt Veach', u'Dennis Siver', u'Rolando Delgado', u'Troy Mandaloniz', u'Marcus Davis', u'Paul Taylor']"
Mike Kyle,"[u'Gegard Mousasi', u'Rafael Cavalcante', u'Abongo Humphrey', u'Fabricio Werdum', u'Rafael Cavalcante', u'Wayne Cole', u'Krzysztof Soszynski', u'James Irvin', u'Justin Eilers', u'Wes Sims']"
Paulo Thiago,"[u'Sean Spencer', u'Gasan Umalatov', u'Brandon Thatch', u'Michel Prazeres', u'Siyar Bahadurzada', u'David Mitchell', u'Diego Sanchez', u'Martin Kampmann', u'Mike Swick', u'Jacob Volkmann', u'Jon Fitch', u'Josh Koscheck']"
Akihiro Gono,"[u'Hayato Sakurai', u'Jon Fitch', u'Dan Hardy', u'Tamdan McCrory', u'Yuki Kondo', u'Denis Kang', u'Gegard Mousasi', u'Hector Lombard', u'Dan Henderson', u'Daniel Acacio', u'Crosley Gracie', u'Mauricio Rua']"
Mike Guymon,"[u'DaMarques Johnson', u'Daniel Roberts', u'Yoshiyuki Yoshida', u'Rory MacDonald']"
Nandor Guelmino,"[u'Daniel Omielanczuk', u'Josh Barnett']"
Alonzo Martinez,[u'Estevan Payan']
Cody Gibson,"[u'Manvel Gamburyan', u'Johnny Bedford', u'Aljamain Sterling']"
Chad George,"[u'Antonio Banuelos', u'Scott Jorgensen', u'John Hosman']"
Yushin Okami,"[u'Hector Lombard', u'Alan Belcher', u'Buddy Roberts', u'Tim Boetsch', u'Anderson Silva', u'Nate Marquardt', u'Mark Munoz', u'Lucio Linhares', u'Chael Sonnen', u'Dean Lister', u'Evan Tanner', u'Jason MacDonald', u'Rich Franklin', u'Mike Swick', u'Rory Singer', u'Kalib Starnes', u'Alan Belcher', u'Jake Shields', u'Anderson Silva', u'Ryuta Sakurai']"
Brian Johnston,"[u'Dan Bobish', u'Ken Shamrock', u'Reza Nasri', u'Mark Coleman', u'Scott Fiedler', u'Don Frye']"
Tai Bowden,"[u'Jack Nilson', u'Steve Nelmark']"
Josh Sampo,"[u'Patrick Holohan', u'Zach Makovsky', u'Ryan Benoit']"
Cesar Gracie,[u'Frank Shamrock']
Matt Lee,[u'Jorge Masvidal']
Micah Miller,"[u'Yoshiro Maeda', u'Josh Grispi', u'Chance Farrar', u'Cub Swanson', u'Jesse Moreng']"
Gerald Harris,"[u'Kazuhiro Nakamura', u'Maiquel Falcao', u'Dave Branch', u'Mario Miranda', u'John Salter']"
Devin Cole,"[u'Gabriel Salinas-Jones', u'Shawn Jordan', u'Daniel Cormier', u'Ben Rothwell']"
Jesse Jones,"[u'Cyrillo Padilha', u'Jesse Gillespie', u'Anthony Alves']"
Stipe Miocic,"[u'Fabio Maldonado', u'Gabriel Gonzaga', u'Roy Nelson', u'Stefan Struve', u'Joey Beltran']"
Yuki Ishikawa,[u'Quinton Jackson']
Rob MacDonald,"[u'Eric Schafer', u'Kristian Rothaermel', u'Jason Lambert']"
LC Davis,"[u'Raphael Assuncao', u'Josh Grispi', u'Deividas Taurosevicius', u'Diego Nunes', u'Javier Vazquez', u'Bao Quach']"
Brandon Wolff,"[u'Yoshiyuki Yoshida', u'Ben Saunders']"
Krzysztof Jotko,"[u'Tor Troeng', u'Magnus Cedenblad', u'Bruno Santos']"
Michael Bisping,"[u'Luke Rockhold', u'Cung Le', u'Tim Kennedy', u'Alan Belcher', u'Vitor Belfort', u'Brian Stann', u'Chael Sonnen', u'Jason Miller', u'Jorge Rivera', u'Yoshihiro Akiyama', u'Dan Miller', u'Wanderlei Silva', u'Denis Kang', u'Dan Henderson', u'Chris Leben', u'Jason Day', u'Charles McCarthy', u'Rashad Evans', u'Matt Hamill', u'Elvis Sinosic', u'Eric Schafer', u'Josh Haynes', u'Ross Pointon', u'Jakob Lovstad', u'Miika Mehmet']"
Mike Seal,[u'Eugene Jackson']
Todd Brown,"[u'Igor Pokrajac', u'Tim Boetsch']"
Ben Lagman,[u'Anthony Smith']
Rich Attonito,"[u'Jake Hecht', u'Daniel Roberts', u'Dave Branch', u'Rafael Natal', u'Jamie Yager']"
Yusuke Imamura,[u'Alistair Overeem']
Dave Terrel,"[u'Blas Avena', u'Tiki Ghosn']"
Billy Miles,[u'George Sotiropoulos']
Bruno Santos,"[u'Elias Theodorou', u'Chris Camozzi', u'Krzysztof Jotko']"
Cristiano Marcello,"[u'Joe Proctor', u'Kazuki Tokudome', u'Reza Madadi', u'Sam Sicilia', u'Mitsuhiro Ishida']"
Tim Boetsch,"[u'Brad Tavares', u'Luke Rockhold', u'CB Dollaway', u'Mark Munoz', u'Hector Lombard', u'Yushin Okami', u'Nick Ring', u'Kendall Grove', u'Phil Davis', u'Todd Brown', u'Jason Brilz', u'Michael Patt', u'Matt Hamill', u'David Heath']"
Vitor Belfort,"[u'Dan Henderson', u'Luke Rockhold', u'Michael Bisping', u'Jon Jones', u'Anthony Johnson', u'Yoshihiro Akiyama', u'Anderson Silva', u'Rich Franklin', u'Matt Lindland', u'Terry Martin', u'James Zikic', u'Ivan Serati', u'Dan Henderson', u'Yoshiki Takahashi', u'Alistair Overeem', u'Alistair Overeem', u'Tito Ortiz', u'Randy Couture', u'Randy Couture', u'Marvin Eastman', u'Chuck Liddell', u'Heath Herring', u'Bobby Southworth', u'Daijiro Matsui', u'Gilbert Yvel', u'Kazushi Sakuraba', u'Wanderlei Silva', u'Joe Charles', u'Randy Couture', u'David Abbott', u'Scott Ferrozzo', u'Tra Telligman']"
Jordan Mein,"[u'Mike Pyle', u'Hernani Perpetuo', u'Matt Brown', u'Dan Miller', u'Tyler Stinson', u'Tyron Woodley', u'Evangelista Santos']"
Clay French,[u'Shinya Aoki']
Dominic Clark,[u'David Douglas']
Sako Chivitchian,[u'Kyle Watson']
Alexandre Barros,[u'Martin Kampmann']
David Kaplan,"[u'George Roop', u'Junie Browning']"
Christian Wellisch,"[u""Jake O'Brien"", u'Shane Carwin', u'Scott Junk', u'Anthony Perosh', u'Cheick Kongo']"
Katsuyori Shibata,"[u'Hiroshi Izumi', u'Tokimitsu Ishizawa', u'Ikuhisa Minowa', u'Hayato Sakurai', u'Yoshihiro Akiyama', u'Jason Miller', u'Kazushi Sakuraba']"
Corey Hill,"[u'Dale Hartt', u'Justin Buchholz', u'Joe Veres']"
Clint Hester,"[u'Robert Whittaker', u'Andy Enz', u'Dylan Andrews', u'Bristol Marunde']"
Ronys Torres,"[u'Jacob Volkmann', u'Melvin Guillard']"
Quinn Mulhern,"[u'Katsunori Kikuno', u'Rick Story', u'Yuri Villefort', u'David Hulett', u'Danny Davis', u'Jason High']"
Zak Bucia,"[u'James Terry', u'James Terry', u'Adam Steele']"
Masanori Tonooka,[u'Yoshihiro Akiyama']
Tony Bonello,[u'Murilo Rua']
Manvel Gamburyan,"[u'Cody Gibson', u'Nik Lentz', u'Dennis Siver', u'Cole Miller', u'Michihiro Omigawa', u'Diego Nunes', u'Tyson Griffin', u'Jose Aldo', u'Mike Brown', u'Leonard Garcia', u'John Franchi', u'Thiago Tavares', u'Rob Emerson', u'Jeff Cox', u'Nate Mohr', u'Nate Diaz']"
Rex Holman,[u'Matt Hamill']
